
   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server

  2026-04-07 14:39:20 / ............................................ ~ 0.11ms
  2026-04-07 14:39:26 /chat ........................................ ~ 0.49ms
  2026-04-07 14:39:26 /build/assets/app-CxMafMWW.css ............. ~ 507.74ms
  2026-04-07 14:39:27 /build/assets/app-BjqOcoUn.js ................ ~ 0.54ms
  2026-04-07 14:39:27 /favicon.ico ................................. ~ 0.26ms
  2026-04-07 15:22:06 /dashboard ................................. ~ 507.71ms
  2026-04-07 15:22:07 /build/assets/app-CxMafMWW.css ............... ~ 0.05ms
  2026-04-07 15:22:07 /chat ........................................ ~ 0.21ms
  2026-04-07 15:22:07 /favicon.ico ................................. ~ 0.03ms
  2026-04-07 15:22:07 /favicon.ico ................................. ~ 0.03ms
  2026-04-07 15:22:07 /dashboard ................................... ~ 0.07ms
  2026-04-07 15:22:07 /favicon.ico ................................. ~ 0.02ms
  2026-04-07 15:22:08 /chat ........................................ ~ 0.06ms
  2026-04-07 15:22:08 /favicon.ico ................................. ~ 0.06ms
  2026-04-07 15:22:09 /chat ...................................... ~ 505.39ms
  2026-04-07 15:22:09 /build/assets/app-CxMafMWW.css ............. ~ 505.71ms
  2026-04-07 15:22:09 /build/assets/app-BjqOcoUn.js ................ ~ 0.11ms
  2026-04-07 15:22:10 /favicon.ico ................................. ~ 0.06ms
  2026-04-07 15:22:10 /chat ........................................ ~ 0.06ms
  2026-04-07 15:22:10 /build/assets/app-CxMafMWW.css ............... ~ 0.02ms
  2026-04-07 15:22:11 /documents ................................... ~ 0.10ms
  2026-04-07 15:22:11 /favicon.ico ................................. ~ 0.02ms
  2026-04-07 15:22:14 /chat ........................................ ~ 0.06ms
  2026-04-07 15:22:14 /favicon.ico ................................. ~ 0.02ms
  2026-04-07 15:22:15 /livewire/update ............................. ~ 0.34ms
  2026-04-07 15:22:17 /livewire/update ............................. ~ 0.07ms
  Fatal error: Maximum execution time of 30+2 seconds exceeded (terminated) in /Users/macbookair/Magang-Istana/laravel/vendor/guzzlehttp/psr7/src/Stream.php on line 234
  2026-04-07 15:23:03 /api/chat .................................. ~ 508.88ms
  2026-04-07 15:28:17 /api/documents/231210013_Metopen ASN 7 (1).pdf  ~ 0.73ms
  2026-04-07 15:28:27 /api/documents/process ....................... ~ 0.63ms
  2026-04-07 15:33:13 /api/chat .................................... ~ 1.21ms
  2026-04-07 15:33:40 /api/chat .................................... ~ 1.17ms
